Mode,Dof,ControlType,StairNum,Trial,Dir,lastSlope,CrossNum,Stimulus1,Stimulus2,Standard,Comparison,Correct,Answer,Greater,NormF1,ShearF1,NormP1,ShearP1,NormF2,ShearF2,NormP2,ShearP2
2,0,0,0,1,2,2,0,0,4.5,1,2,2,2,1,5.93485,0.0939875,8.52959,0,6.8103,-2.06182,8.52983,4.36389
2,0,0,0,2,1,1,0,4,0,2,1,1,1,1,6.33807,-1.75814,8.54197,3.8787,5.81106,0.337401,8.54841,0.0783661
2,0,0,0,3,1,1,0,3.5,0,2,1,1,1,1,6.42686,-1.53082,8.54824,3.38254,5.7179,0.3354,8.55157,0.0774536
2,0,0,0,4,1,1,0,0,3,1,2,2,2,1,5.67136,0.305182,8.55338,0.0719343,6.03916,-1.32774,8.55338,2.8947
2,0,0,0,5,1,1,0,0,2.5,1,2,2,2,1,5.63937,0.251362,8.55779,0.0730382,5.9026,-1.08191,8.55779,2.39408
2,0,0,0,6,1,1,0,2,0,2,1,1,1,1,5.72836,-0.83505,8.56037,1.91288,5.54108,0.254718,8.56221,0.0710144
2,0,0,0,7,1,1,0,1.5,0,2,1,1,1,1,5.62876,-0.579637,8.56221,1.41642,5.48655,0.216697,8.56221,0.0684388
2,0,0,0,8,1,1,0,1,0,2,1,1,1,1,5.55259,-0.351553,8.56221,0.919218,5.41949,0.209762,8.56221,0.0646931
2,0,0,0,9,1,1,0,0,0.5,1,2,2,2,1,5.35475,0.1426,8.56221,0.0629821,5.26158,-0.114767,8.56221,0.436389
2,0,0,0,10,1,1,0,0,0,1,2,0,2,1,5.33636,0.154798,8.56221,0.0603439,5.3183,0.126135,8.56221,0.0603439
2,0,0,0,11,2,1,0,0,0,2,1,0,1,1,5.32765,0.171278,8.56221,0.0585041,5.36991,0.141579,8.56221,0.0583202
2,0,0,0,12,2,1,0,0,0,1,2,0,2,1,5.31033,0.154157,8.56221,0.0583202,5.31861,0.173746,8.56221,0.0583202
2,0,0,0,13,2,1,0,0,0,2,1,0,2,0,5.321,0.124021,8.56221,0.0583202,5.29888,0.134792,8.56381,0.0583202
2,0,0,0,14,2,1,0,0,0,1,2,0,1,0,5.20052,0.127721,8.56405,0.0583202,5.17806,0.0815187,8.56405,0.0583202
2,0,0,0,15,2,1,0,0,0,1,2,0,1,0,5.2076,0.0854873,8.56405,0.0583202,5.20566,0.147764,8.56405,0.0583202
2,0,0,0,16,2,1,0,0,0,1,2,0,2,1,5.18239,0.149929,8.56405,0.0583202,5.1634,0.0614425,8.56478,0.0583202
2,0,0,0,17,2,1,0,0,0,2,1,0,2,0,5.18204,0.0570189,8.56478,0.0559285,5.117,0.129141,8.56478,0.0559285
2,0,0,0,18,2,1,0,0,0,2,1,0,2,0,5.18618,0.149989,8.56478,0.0559285,5.19239,0.0637919,8.56497,0.0559285
2,0,0,0,19,2,1,0,0,0,1,2,0,2,1,5.17209,0.081274,8.56497,0.0559285,5.12534,0.132554,8.56497,0.0561125
2,0,0,0,20,2,1,0,0,0,2,1,0,2,0,5.16599,0.153734,8.56497,0.0560757,5.18333,0.0618523,8.56497,0.0559285
2,0,0,0,21,2,1,0,0,0,2,1,0,2,0,5.09828,0.0321475,8.56497,0.0550491,5.06359,0.0155255,8.56497,0.0544567
2,0,0,0,22,2,1,0,0,0,2,1,0,2,0,5.00061,-0.0789532,8.56497,0.0544567,5.00843,-0.0310579,8.56626,0.0544567
2,0,0,0,23,2,1,0,0,0,2,1,0,2,0,4.95657,-0.0855492,8.56669,0.0544567,4.95445,-0.104385,8.56896,0.0544567
2,0,0,0,24,2,1,0,0,0,1,2,0,2,1,4.72454,-0.120486,8.57141,0.0544567,4.74422,-0.143389,8.57141,0.0544567
2,0,0,0,25,2,1,0,0,0,2,1,0,2,0,4.70528,-0.140746,8.57141,0.0544567,4.70093,-0.0908112,8.57251,0.0546406
2,0,0,0,26,2,1,0,0,0,1,2,0,2,1,4.67169,-0.180834,8.5729,0.0544567,4.70355,-0.13601,8.57306,0.0544567
2,0,0,0,27,2,1,0,0,0,1,2,0,2,1,4.66128,-0.0799322,8.57306,0.0544567,4.69085,-0.175541,8.57306,0.0544567
2,0,0,0,28,2,1,0,0,0,2,1,0,2,0,4.64196,-0.133378,8.57306,0.0544567,4.67575,-0.228062,8.57306,0.0544567
2,0,0,0,29,2,1,0,0,0,1,2,0,2,1,3.81518,-0.556191,8.59661,0.0241008,3.77508,-0.552582,8.59661,0.0240272
2,0,0,0,30,2,1,0,0,0,1,2,0,2,1,3.76469,-0.630418,8.59661,0.0239168,3.60506,-0.21951,8.59666,0.024086
2,0,0,0,31,2,1,0,0,0,2,1,0,2,0,3.40578,-0.625199,8.61777,-0.0467297,3.39479,-0.618587,8.61777,-0.0468879
2,0,0,0,32,2,1,0,0,0,2,1,0,2,0,3.39263,-0.681672,8.61777,-0.0469137,3.36103,-0.803618,8.61777,-0.0469137
2,0,0,0,33,2,1,0,0,0,1,2,0,1,0,3.3692,-0.834984,8.61777,-0.0469137,3.3206,-0.785472,8.61777,-0.0469137
